City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
98,georgetown,5.4112,100.3354,87.72800000000007,66,20,4.63,MY,1698041439
99,mournies,35.4764,24.0092,74.82200000000003,83,20,1.54,GR,1698041581
100,bredasdorp,-34.5322,20.0403,65.46200000000006,58,100,2.34,ZA,1698041582
101,zaoyang,32.1272,112.7542,75.12800000000007,40,4,3.79,CN,1698041582
102,jamestown,42.097,-79.2353,39.72200000000004,87,100,2.06,US,1698041307
103,calipatria,33.1256,-115.5142,75.90200000000007,54,0,6.64,US,1698041582
104,cidade velha,14.9167,-23.6167,77.46800000000009,83,20,2.57,CV,1698041582
105,olonkinbyen,70.9221,-8.7187,37.90400000000005,89,100,5.63,SJ,1698041583
106,enewetak,11.3474,162.3373,84.02000000000007,71,78,4.55,MH,1698041583
107,hadibu,12.65,54.0333,82.34600000000005,74,100,6.02,YE,1698041583
108,sisimiut,66.9395,-53.6735,24.29600000000005,74,100,5.04,GL,1698041583
109,portland,45.5234,-122.6762,57.57800000000007,90,20,2.57,US,1698041501
110,petropavlovsk-kamchatsky,53.0452,158.6483,43.39400000000008,57,40,3.0,RU,1698041583
111,horta,38.5333,-28.6333,67.64000000000001,80,40,6.17,PT,1698041584
112,necocli,8.4234,-76.786,80.33000000000004,84,100,3.17,CO,1698041584
113,aasiaat,68.7098,-52.8699,12.488000000000046,75,44,2.84,GL,1698041584
114,opuwo,-18.0607,13.84,69.71000000000008,17,1,0.79,NA,1698041584
115,farap,39.1704,63.6116,64.09400000000008,57,83,1.75,TM,1698041585
116,primorsk,46.7348,36.3443,63.35600000000003,70,50,4.88,UA,1698041585
117,simanggang,1.2472,111.4528,86.28800000000004,74,97,0.93,MY,1698041585
118,bethel,41.3712,-73.414,45.48200000000001,75,100,3.09,US,1698041585
119,timbuktu,16.7735,-3.0074,84.59600000000005,19,14,3.05,ML,1698041585
120,reggane,26.7158,0.1714,81.33800000000005,26,51,4.79,DZ,1698041585
121,usinsk,65.9939,57.5281,29.354000000000052,97,100,7.89,RU,1698041586
122,amursk,50.2261,136.8994,41.504000000000055,52,18,3.54,RU,1698041586
123,nishinoomote,30.7333,131.0,67.40600000000003,52,0,1.57,JP,1698041586
124,flin flon,54.7682,-101.865,27.428000000000065,47,45,1.87,CA,1698041586
125,jaranwala,31.3333,73.4333,82.72400000000002,38,0,1.81,PK,1698041407
126,kingston,17.997,-76.7936,83.35400000000006,86,20,1.54,JM,1698041016
127,kashgar,39.4547,75.9797,64.41800000000009,19,87,0.49,CN,1698041587
128,ilulissat,69.2167,-51.1,21.218000000000085,63,1,3.6,GL,1698041587
129,masuguru,-11.3667,38.4167,84.45200000000008,42,6,3.0,TZ,1698041587
130,hawaiian paradise park,19.5933,-154.9731,75.03800000000004,91,0,2.06,US,1698041336
131,nemuro,43.3236,145.575,53.041999999999994,60,53,5.6,JP,1698041426
132,celestun,20.8667,-90.4,78.92600000000009,80,100,9.8,MX,1698041588
133,antsiranana,-12.2787,49.2917,84.542,49,30,7.88,MG,1698041588
134,tay ninh,11.3,106.1,88.53800000000004,62,76,1.06,VN,1698041588
135,duba,27.3513,35.6901,86.86400000000003,44,2,0.5,SA,1698041588
136,howard springs,-12.497,131.047,93.11000000000008,59,3,3.73,AU,1698041588
